Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Slider,Curveball,Split Finger,Cutter,Changeup,Knuckle Curve,Sweeper,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
kris bubic,P,KC,Pitching Outs,16.5,NYY,base,Wed 7:40 PM,12,5,3,1.43,79,9.44,2.63,3.59,0.36,6.33,21455,26.9%,7.5%,19.4%,0.196,1.0,0.266,86.5%,34.0,59.0,2.45,38.9%,5.6%,13.9%,,,,20.7%,,20.9%,,328,0.297,487,0.442,221,0.2,67,0.061,92.99,2529.0,0.286,0.0,0.357,0.286,0.357,93.05,2474.0,0.255,0.0,0.4,0.309,0.236,L,23.0,5.0,4.1,0.0,10.38,0.0,0.0,1.0,0.0,0.0,97.0,13.0,13.0,0.0
kris bubic,P,KC,Pitcher Strikeouts,5.0,NYY,base,Wed 7:40 PM,12,5,3,1.43,79,9.44,2.63,3.59,0.36,6.33,21455,26.9%,7.5%,19.4%,0.196,1.0,0.266,86.5%,34.0,59.0,2.45,38.9%,5.6%,13.9%,,,,20.7%,,20.9%,,328,0.297,487,0.442,221,0.2,67,0.061,92.99,2529.0,0.286,0.0,0.357,0.286,0.357,93.05,2474.0,0.255,0.0,0.4,0.309,0.236,L,23.0,5.0,4.1,0.0,10.38,0.0,0.0,1.0,0.0,0.0,97.0,13.0,3.0,0.0
kris bubic,P,KC,Pitches Thrown,92.5,NYY,base,Wed 7:40 PM,12,5,3,1.43,79,9.44,2.63,3.59,0.36,6.33,21455,26.9%,7.5%,19.4%,0.196,1.0,0.266,86.5%,34.0,59.0,2.45,38.9%,5.6%,13.9%,,,,20.7%,,20.9%,,328,0.297,487,0.442,221,0.2,67,0.061,92.99,2529.0,0.286,0.0,0.357,0.286,0.357,93.05,2474.0,0.255,0.0,0.4,0.309,0.236,L,23.0,5.0,4.1,0.0,10.38,0.0,0.0,1.0,0.0,0.0,97.0,13.0,97.0,1.0
kris bubic,P,KC,Pitcher Fantasy Score,28.5,NYY,base,Wed 7:40 PM,12,5,3,1.43,79,9.44,2.63,3.59,0.36,6.33,21455,26.9%,7.5%,19.4%,0.196,1.0,0.266,86.5%,34.0,59.0,2.45,38.9%,5.6%,13.9%,,,,20.7%,,20.9%,,328,0.297,487,0.442,221,0.2,67,0.061,92.99,2529.0,0.286,0.0,0.357,0.286,0.357,93.05,2474.0,0.255,0.0,0.4,0.309,0.236,L,23.0,5.0,4.1,0.0,10.38,0.0,0.0,1.0,0.0,0.0,97.0,13.0,7.0,0.0
clarke schmidt,P,NYY,Walks Allowed,1.5,KC,base,Wed 7:40 PM,9,2,3,4.04,50,9.18,3.86,2.38,1.1,7.71,19899,24.5%,10.3%,14.2%,0.23,1.29,0.283,75.1%,101.0,93.0,3.91,1.5%,8.9%,5.4%,,,45.2%,,20.9%,18.1%,,249,0.313,313,0.394,166,0.209,67,0.084,94.2,2666.0,0.323,0.0,0.387,0.387,0.194,94.7,2610.0,0.371,0.0,0.329,0.3,0.286,,,,,,,,,,,,,,,
clarke schmidt,P,NYY,Pitcher Strikeouts,4.5,KC,base,Wed 7:40 PM,9,2,3,4.04,50,9.18,3.86,2.38,1.1,7.71,19899,24.5%,10.3%,14.2%,0.23,1.29,0.283,75.1%,101.0,93.0,3.91,1.5%,8.9%,5.4%,,,45.2%,,20.9%,18.1%,,249,0.313,313,0.394,166,0.209,67,0.084,94.2,2666.0,0.323,0.0,0.387,0.387,0.194,94.7,2610.0,0.371,0.0,0.329,0.3,0.286,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.0,18.0,7.0,1.0
clarke schmidt,P,NYY,Pitches Thrown,92.5,KC,base,Wed 7:40 PM,9,2,3,4.04,50,9.18,3.86,2.38,1.1,7.71,19899,24.5%,10.3%,14.2%,0.23,1.29,0.283,75.1%,101.0,93.0,3.91,1.5%,8.9%,5.4%,,,45.2%,,20.9%,18.1%,,249,0.313,313,0.394,166,0.209,67,0.084,94.2,2666.0,0.323,0.0,0.387,0.387,0.194,94.7,2610.0,0.371,0.0,0.329,0.3,0.286,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.0,18.0,91.0,0.0
clarke schmidt,P,NYY,Pitching Outs,17.5,KC,base,Wed 7:40 PM,9,2,3,4.04,50,9.18,3.86,2.38,1.1,7.71,19899,24.5%,10.3%,14.2%,0.23,1.29,0.283,75.1%,101.0,93.0,3.91,1.5%,8.9%,5.4%,,,45.2%,,20.9%,18.1%,,249,0.313,313,0.394,166,0.209,67,0.084,94.2,2666.0,0.323,0.0,0.387,0.387,0.194,94.7,2610.0,0.371,0.0,0.329,0.3,0.286,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.0,18.0,18.0,1.0
clarke schmidt,P,NYY,Earned Runs Allowed,2.5,KC,base,Wed 7:40 PM,9,2,3,4.04,50,9.18,3.86,2.38,1.1,7.71,19899,24.5%,10.3%,14.2%,0.23,1.29,0.283,75.1%,101.0,93.0,3.91,1.5%,8.9%,5.4%,,,45.2%,,20.9%,18.1%,,249,0.313,313,0.394,166,0.209,67,0.084,94.2,2666.0,0.323,0.0,0.387,0.387,0.194,94.7,2610.0,0.371,0.0,0.329,0.3,0.286,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.0,18.0,0.0,0.0
clarke schmidt,P,NYY,Pitcher Fantasy Score,27.5,KC,base,Wed 7:40 PM,9,2,3,4.04,50,9.18,3.86,2.38,1.1,7.71,19899,24.5%,10.3%,14.2%,0.23,1.29,0.283,75.1%,101.0,93.0,3.91,1.5%,8.9%,5.4%,,,45.2%,,20.9%,18.1%,,249,0.313,313,0.394,166,0.209,67,0.084,94.2,2666.0,0.323,0.0,0.387,0.387,0.194,94.7,2610.0,0.371,0.0,0.329,0.3,0.286,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91.0,18.0,49.0,1.0
clarke schmidt,P,NYY,Hits Allowed,5.5,KC,base,Wed 7:40 PM,9,2,3,4.04,50,9.18,3.86,2.38,1.1,7.71,19899,24.5%,10.3%,14.2%,0.23,1.29,0.283,75.1%,101.0,93.0,3.91,1.5%,8.9%,5.4%,,,45.2%,,20.9%,18.1%,,249,0.313,313,0.394,166,0.209,67,0.084,94.2,2666.0,0.323,0.0,0.387,0.387,0.194,94.7,2610.0,0.371,0.0,0.329,0.3,0.286,,,,,,,,,,,,,,,
jack leiter,P,TEX,Pitching Outs,15.5,MIN,base,Wed 7:40 PM,10,4,2,3.48,42,7.32,4.18,1.75,0.87,6.27,30146,19.7%,11.3%,8.5%,0.193,1.16,0.221,76.4%,87.0,102.0,4.22,29.1%,22.3%,27.4%,8.8%,,,12.4%,,,,238,0.279,358,0.42,173,0.203,84,0.098,97.39,2409.0,0.56,0.0,0.48,0.32,0.16,97.43,2411.0,0.507,0.0,0.373,0.387,0.2,L,19.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,87.0,12.0,12.0,0.0
jack leiter,P,TEX,Pitcher Fantasy Score,24.5,MIN,base,Wed 7:40 PM,10,4,2,3.48,42,7.32,4.18,1.75,0.87,6.27,30146,19.7%,11.3%,8.5%,0.193,1.16,0.221,76.4%,87.0,102.0,4.22,29.1%,22.3%,27.4%,8.8%,,,12.4%,,,,238,0.279,358,0.42,173,0.203,84,0.098,97.39,2409.0,0.56,0.0,0.48,0.32,0.16,97.43,2411.0,0.507,0.0,0.373,0.387,0.2,L,19.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,87.0,12.0,9.0,0.0
jack leiter,P,TEX,Pitcher Strikeouts,4.5,MIN,base,Wed 7:40 PM,10,4,2,3.48,42,7.32,4.18,1.75,0.87,6.27,30146,19.7%,11.3%,8.5%,0.193,1.16,0.221,76.4%,87.0,102.0,4.22,29.1%,22.3%,27.4%,8.8%,,,12.4%,,,,238,0.279,358,0.42,173,0.203,84,0.098,97.39,2409.0,0.56,0.0,0.48,0.32,0.16,97.43,2411.0,0.507,0.0,0.373,0.387,0.2,L,19.0,4.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,87.0,12.0,3.0,0.0
david festa,P,MIN,Hits Allowed,4.5,TEX,base,Wed 7:40 PM,4,0,1,5.4,21,11.34,3.78,3.0,1.62,9.72,30056,28.0%,9.3%,18.7%,0.273,1.5,0.357,70.2%,136.0,111.0,4.51,36.2%,7.9%,28.3%,,,,27.6%,,,,92,0.303,129,0.424,58,0.191,25,0.082,94.81,2448.0,0.545,0.0,0.273,0.455,0.182,94.81,2448.0,0.545,0.0,0.273,0.455,0.182,,,,,,,,,,,,,,,
david festa,P,MIN,Walks Allowed,1.5,TEX,base,Wed 7:40 PM,4,0,1,5.4,21,11.34,3.78,3.0,1.62,9.72,30056,28.0%,9.3%,18.7%,0.273,1.5,0.357,70.2%,136.0,111.0,4.51,36.2%,7.9%,28.3%,,,,27.6%,,,,92,0.303,129,0.424,58,0.191,25,0.082,94.81,2448.0,0.545,0.0,0.273,0.455,0.182,94.81,2448.0,0.545,0.0,0.273,0.455,0.182,,,,,,,,,,,,,,,
david festa,P,MIN,Pitcher Strikeouts,5.0,TEX,base,Wed 7:40 PM,4,0,1,5.4,21,11.34,3.78,3.0,1.62,9.72,30056,28.0%,9.3%,18.7%,0.273,1.5,0.357,70.2%,136.0,111.0,4.51,36.2%,7.9%,28.3%,,,,27.6%,,,,92,0.303,129,0.424,58,0.191,25,0.082,94.81,2448.0,0.545,0.0,0.273,0.455,0.182,94.81,2448.0,0.545,0.0,0.273,0.455,0.182,W,22.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,86.0,18.0,4.0,0.0
sean burke,P,CWS,Pitcher Strikeouts,4.0,HOU,base,Wed 8:10 PM,13,3,6,4.03,50,6.72,4.3,1.56,1.34,8.19,29878,17.2%,11.0%,6.2%,0.239,1.39,0.262,74.7%,100.0,122.0,5.13,40.3%,6.7%,27.9%,18.1%,,,7.0%,,,,299,0.269,462,0.415,277,0.249,75,0.067,94.38,2575.0,0.371,0.0,0.286,0.229,0.343,93.95,2560.0,0.338,0.0,0.292,0.262,0.308,L,20.0,7.0,3.2,0.0,17.18,0.0,0.0,1.0,0.0,0.0,73.0,11.0,4.0,1.0
sean burke,P,CWS,Pitching Outs,16.5,HOU,base,Wed 8:10 PM,13,3,6,4.03,50,6.72,4.3,1.56,1.34,8.19,29878,17.2%,11.0%,6.2%,0.239,1.39,0.262,74.7%,100.0,122.0,5.13,40.3%,6.7%,27.9%,18.1%,,,7.0%,,,,299,0.269,462,0.415,277,0.249,75,0.067,94.38,2575.0,0.371,0.0,0.286,0.229,0.343,93.95,2560.0,0.338,0.0,0.292,0.262,0.308,L,20.0,7.0,3.2,0.0,17.18,0.0,0.0,1.0,0.0,0.0,73.0,11.0,11.0,0.0
sean burke,P,CWS,Hits Allowed,5.5,HOU,base,Wed 8:10 PM,13,3,6,4.03,50,6.72,4.3,1.56,1.34,8.19,29878,17.2%,11.0%,6.2%,0.239,1.39,0.262,74.7%,100.0,122.0,5.13,40.3%,6.7%,27.9%,18.1%,,,7.0%,,,,299,0.269,462,0.415,277,0.249,75,0.067,94.38,2575.0,0.371,0.0,0.286,0.229,0.343,93.95,2560.0,0.338,0.0,0.292,0.262,0.308,,,,,,,,,,,,,,,
sean burke,P,CWS,Pitcher Fantasy Score,23.5,HOU,base,Wed 8:10 PM,13,3,6,4.03,50,6.72,4.3,1.56,1.34,8.19,29878,17.2%,11.0%,6.2%,0.239,1.39,0.262,74.7%,100.0,122.0,5.13,40.3%,6.7%,27.9%,18.1%,,,7.0%,,,,299,0.269,462,0.415,277,0.249,75,0.067,94.38,2575.0,0.371,0.0,0.286,0.229,0.343,93.95,2560.0,0.338,0.0,0.292,0.262,0.308,L,20.0,7.0,3.2,0.0,17.18,0.0,0.0,1.0,0.0,0.0,73.0,11.0,2.0,0.0
ryan gusto,P,HOU,Pitcher Strikeouts,4.5,CWS,base,Wed 8:10 PM,14,3,3,4.78,45,9.35,4.36,2.14,1.25,10.38,26440,22.4%,10.4%,11.9%,0.281,1.64,0.346,72.8%,121.0,109.0,4.39,46.6%,5.6%,1.1%,14.7%,,12.5%,9.2%,,10.2%,,245,0.31,339,0.429,157,0.198,50,0.063,94.66,2442.0,0.385,0.0,0.423,0.077,0.385,94.37,2445.0,0.34,0.0,0.34,0.16,0.36,W,25.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,91.0,18.0,7.0,1.0
ryan gusto,P,HOU,Pitcher Fantasy Score,23.5,CWS,base,Wed 8:10 PM,14,3,3,4.78,45,9.35,4.36,2.14,1.25,10.38,26440,22.4%,10.4%,11.9%,0.281,1.64,0.346,72.8%,121.0,109.0,4.39,46.6%,5.6%,1.1%,14.7%,,12.5%,9.2%,,10.2%,,245,0.31,339,0.429,157,0.198,50,0.063,94.66,2442.0,0.385,0.0,0.423,0.077,0.385,94.37,2445.0,0.34,0.0,0.34,0.16,0.36,W,25.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,91.0,18.0,43.0,1.0
ryan gusto,P,HOU,Hits Allowed,4.5,CWS,base,Wed 8:10 PM,14,3,3,4.78,45,9.35,4.36,2.14,1.25,10.38,26440,22.4%,10.4%,11.9%,0.281,1.64,0.346,72.8%,121.0,109.0,4.39,46.6%,5.6%,1.1%,14.7%,,12.5%,9.2%,,10.2%,,245,0.31,339,0.429,157,0.198,50,0.063,94.66,2442.0,0.385,0.0,0.423,0.077,0.385,94.37,2445.0,0.34,0.0,0.34,0.16,0.36,,,,,,,,,,,,,,,
kyle freeland,P,COL,Pitching Outs,17.5,SF,base,Wed 8:40 PM,13,1,8,5.19,52,6.92,1.73,4.0,0.93,12.1,16256,17.2%,4.3%,12.9%,0.316,1.54,0.367,57.2%,114.0,85.0,3.55,25.0%,14.7%,,,,14.5%,7.8%,20.8%,17.2%,,291,0.273,471,0.442,229,0.215,74,0.069,91.7,2408.0,0.486,0.0,0.378,0.243,0.297,91.81,2422.0,0.414,0.0,0.368,0.241,0.333,,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,90.0,18.0,18.0,1.0
kyle freeland,P,COL,Pitcher Strikeouts,4.0,SF,base,Wed 8:40 PM,13,1,8,5.19,52,6.92,1.73,4.0,0.93,12.1,16256,17.2%,4.3%,12.9%,0.316,1.54,0.367,57.2%,114.0,85.0,3.55,25.0%,14.7%,,,,14.5%,7.8%,20.8%,17.2%,,291,0.273,471,0.442,229,0.215,74,0.069,91.7,2408.0,0.486,0.0,0.378,0.243,0.297,91.81,2422.0,0.414,0.0,0.368,0.241,0.333,,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,90.0,18.0,5.0,1.0
kyle freeland,P,COL,Pitcher Fantasy Score,20.5,SF,base,Wed 8:40 PM,13,1,8,5.19,52,6.92,1.73,4.0,0.93,12.1,16256,17.2%,4.3%,12.9%,0.316,1.54,0.367,57.2%,114.0,85.0,3.55,25.0%,14.7%,,,,14.5%,7.8%,20.8%,17.2%,,291,0.273,471,0.442,229,0.215,74,0.069,91.7,2408.0,0.486,0.0,0.378,0.243,0.297,91.81,2422.0,0.414,0.0,0.368,0.241,0.333,,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,90.0,18.0,28.0,1.0
kyle freeland,P,COL,Pitches Thrown,89.5,SF,base,Wed 8:40 PM,13,1,8,5.19,52,6.92,1.73,4.0,0.93,12.1,16256,17.2%,4.3%,12.9%,0.316,1.54,0.367,57.2%,114.0,85.0,3.55,25.0%,14.7%,,,,14.5%,7.8%,20.8%,17.2%,,291,0.273,471,0.442,229,0.215,74,0.069,91.7,2408.0,0.486,0.0,0.378,0.243,0.297,91.81,2422.0,0.414,0.0,0.368,0.241,0.333,,25.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,90.0,18.0,90.0,1.0
robbie ray,P,SF,Earned Runs Allowed,2.5,COL,base,Wed 8:40 PM,13,8,1,2.44,87,10.13,3.61,2.81,0.7,6.05,11486,28.4%,10.1%,18.3%,0.189,1.07,0.253,83.1%,62.0,80.0,3.03,52.3%,,24.1%,,,,13.3%,10.2%,,,341,0.279,556,0.455,239,0.196,85,0.07,93.78,2375.0,0.333,0.0,0.185,0.37,0.37,93.84,2381.0,0.389,0.0,0.347,0.292,0.278,,21.0,2.0,4.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,93.0,12.0,2.0,0.0
robbie ray,P,SF,Pitches Thrown,96.5,COL,base,Wed 8:40 PM,13,8,1,2.44,87,10.13,3.61,2.81,0.7,6.05,11486,28.4%,10.1%,18.3%,0.189,1.07,0.253,83.1%,62.0,80.0,3.03,52.3%,,24.1%,,,,13.3%,10.2%,,,341,0.279,556,0.455,239,0.196,85,0.07,93.78,2375.0,0.333,0.0,0.185,0.37,0.37,93.84,2381.0,0.389,0.0,0.347,0.292,0.278,,21.0,2.0,4.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,93.0,12.0,93.0,0.0
robbie ray,P,SF,Pitcher Fantasy Score,37.5,COL,base,Wed 8:40 PM,13,8,1,2.44,87,10.13,3.61,2.81,0.7,6.05,11486,28.4%,10.1%,18.3%,0.189,1.07,0.253,83.1%,62.0,80.0,3.03,52.3%,,24.1%,,,,13.3%,10.2%,,,341,0.279,556,0.455,239,0.196,85,0.07,93.78,2375.0,0.333,0.0,0.185,0.37,0.37,93.84,2381.0,0.389,0.0,0.347,0.292,0.278,,21.0,2.0,4.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,93.0,12.0,21.0,0.0
robbie ray,P,SF,Pitcher Strikeouts,7.0,COL,base,Wed 8:40 PM,13,8,1,2.44,87,10.13,3.61,2.81,0.7,6.05,11486,28.4%,10.1%,18.3%,0.189,1.07,0.253,83.1%,62.0,80.0,3.03,52.3%,,24.1%,,,,13.3%,10.2%,,,341,0.279,556,0.455,239,0.196,85,0.07,93.78,2375.0,0.333,0.0,0.185,0.37,0.37,93.84,2381.0,0.389,0.0,0.347,0.292,0.278,,21.0,2.0,4.0,0.0,4.5,0.0,0.0,1.0,1.0,0.0,93.0,12.0,5.0,0.0
