Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Changeup,Slider,Curveball,Sinker,Cutter,Split Finger,Sweeper,Knuckle Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
matthew boyd,P,CHC,Hits Allowed,4.5,PIT,base,Sat 2:20 PM,13,5,3,2.89,70,8.44,2.17,3.89,0.96,8.92,15440.0,22.7%,5.8%,16.9%,0.26,1.23,0.319,79.3%,74.0,91.0,3.52,46.9%,23.4%,16.9%,9.7%,3.1%,,,,,,347.0,0.294,512.0,0.434,242.0,0.205,80.0,0.068,93.02,2263.0,0.35,0.0,0.4,0.325,0.15,93.0,2298.0,0.383,0.0,0.37,0.358,0.148,,,,,,,,,,,,,,,
matthew boyd,P,CHC,Earned Runs Allowed,1.5,PIT,base,Sat 2:20 PM,13,5,3,2.89,70,8.44,2.17,3.89,0.96,8.92,15440.0,22.7%,5.8%,16.9%,0.26,1.23,0.319,79.3%,74.0,91.0,3.52,46.9%,23.4%,16.9%,9.7%,3.1%,,,,,,347.0,0.294,512.0,0.434,242.0,0.205,80.0,0.068,93.02,2263.0,0.35,0.0,0.4,0.325,0.15,93.0,2298.0,0.383,0.0,0.37,0.358,0.148,W,19.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,93.0,18.0,1.0,0.0
matthew boyd,P,CHC,Pitches Thrown,92.5,PIT,base,Sat 2:20 PM,13,5,3,2.89,70,8.44,2.17,3.89,0.96,8.92,15440.0,22.7%,5.8%,16.9%,0.26,1.23,0.319,79.3%,74.0,91.0,3.52,46.9%,23.4%,16.9%,9.7%,3.1%,,,,,,347.0,0.294,512.0,0.434,242.0,0.205,80.0,0.068,93.02,2263.0,0.35,0.0,0.4,0.325,0.15,93.0,2298.0,0.383,0.0,0.37,0.358,0.148,W,19.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,93.0,18.0,93.0,1.0
matthew boyd,P,CHC,Pitcher Strikeouts,6.0,PIT,base,Sat 2:20 PM,13,5,3,2.89,70,8.44,2.17,3.89,0.96,8.92,15440.0,22.7%,5.8%,16.9%,0.26,1.23,0.319,79.3%,74.0,91.0,3.52,46.9%,23.4%,16.9%,9.7%,3.1%,,,,,,347.0,0.294,512.0,0.434,242.0,0.205,80.0,0.068,93.02,2263.0,0.35,0.0,0.4,0.325,0.15,93.0,2298.0,0.383,0.0,0.37,0.358,0.148,W,19.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,93.0,18.0,3.0,0.0
matthew boyd,P,CHC,Pitcher Fantasy Score,37.5,PIT,base,Sat 2:20 PM,13,5,3,2.89,70,8.44,2.17,3.89,0.96,8.92,15440.0,22.7%,5.8%,16.9%,0.26,1.23,0.319,79.3%,74.0,91.0,3.52,46.9%,23.4%,16.9%,9.7%,3.1%,,,,,,347.0,0.294,512.0,0.434,242.0,0.205,80.0,0.068,93.02,2263.0,0.35,0.0,0.4,0.325,0.15,93.0,2298.0,0.383,0.0,0.37,0.358,0.148,W,19.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,93.0,18.0,34.0,0.0
mike burrows,P,PIT,Pitcher Strikeouts,4.0,CHC,base,Sat 2:20 PM,4,1,1,5.0,17,8.5,3.5,2.43,2.0,9.0,24728.0,21.5%,8.9%,12.7%,0.254,1.39,0.28,73.5%,121.0,135.0,5.41,39.2%,26.5%,20.6%,13.7%,,,,,,,80.0,0.275,121.0,0.416,74.0,0.254,16.0,0.055,95.22,2338.0,0.609,0.0,0.391,0.217,0.304,94.93,2293.0,0.46,0.0,0.38,0.22,0.32,,21.0,1.0,5.1,0.0,1.69,0.0,0.0,1.0,1.0,0.0,81.0,16.0,8.0,1.0
jacob degrom,P,TEX,Walks Allowed,1.5,CWS,base,Sat 4:05 PM,13,6,2,2.12,74,8.72,2.0,4.35,1.06,6.25,10954.0,25.3%,5.8%,19.5%,0.193,0.92,0.23,90.9%,53.0,82.0,3.42,,,,,,,,,,,306.0,0.276,500.0,0.452,254.0,0.229,47.0,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob degrom,P,TEX,Pitcher Fantasy Score,40.5,CWS,base,Sat 4:05 PM,13,6,2,2.12,74,8.72,2.0,4.35,1.06,6.25,10954.0,25.3%,5.8%,19.5%,0.193,0.92,0.23,90.9%,53.0,82.0,3.42,,,,,,,,,,,306.0,0.276,500.0,0.452,254.0,0.229,47.0,0.042,,,,,,,,,,,,,,,,22.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,82.0,18.0,34.0,0.0
jacob degrom,P,TEX,Pitcher Strikeouts,7.0,CWS,base,Sat 4:05 PM,13,6,2,2.12,74,8.72,2.0,4.35,1.06,6.25,10954.0,25.3%,5.8%,19.5%,0.193,0.92,0.23,90.9%,53.0,82.0,3.42,,,,,,,,,,,306.0,0.276,500.0,0.452,254.0,0.229,47.0,0.042,,,,,,,,,,,,,,,,22.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,82.0,18.0,6.0,0.0
tyler anderson,P,LAA,Pitcher Strikeouts,4.5,BAL,base,Sat 4:05 PM,13,2,3,3.99,57,7.33,3.47,2.11,1.41,8.36,12880.0,18.6%,8.8%,9.8%,0.235,1.31,0.258,75.4%,98.0,115.0,4.78,39.0%,33.2%,2.9%,0.4%,2.5%,22.0%,,,,,315.0,0.258,530.0,0.434,284.0,0.232,93.0,0.076,88.59,2177.0,0.464,0.0,0.143,0.286,0.536,88.71,2183.0,0.402,0.0,0.244,0.317,0.366,L,25.0,6.0,5.0,0.0,10.8,0.0,0.0,1.0,1.0,0.0,91.0,15.0,4.0,0.0
tomoyuki sugano,P,BAL,Hits Allowed,5.5,LAA,base,Sat 4:05 PM,13,5,4,3.23,42,5.02,1.43,3.5,1.43,8.48,35321.0,13.9%,4.0%,9.9%,0.246,1.1,0.251,83.6%,83.0,115.0,4.59,16.6%,,,10.7%,12.3%,16.0%,26.0%,18.3%,,,278.0,0.243,495.0,0.433,288.0,0.252,81.0,0.071,92.09,2395.0,0.378,0.0,0.459,0.189,0.27,92.13,2374.0,0.347,0.0,0.418,0.224,0.255,,,,,,,,,,,,,,,
tomoyuki sugano,P,BAL,Pitcher Strikeouts,4.0,LAA,base,Sat 4:05 PM,13,5,4,3.23,42,5.02,1.43,3.5,1.43,8.48,35321.0,13.9%,4.0%,9.9%,0.246,1.1,0.251,83.6%,83.0,115.0,4.59,16.6%,,,10.7%,12.3%,16.0%,26.0%,18.3%,,,278.0,0.243,495.0,0.433,288.0,0.252,81.0,0.071,92.09,2395.0,0.378,0.0,0.459,0.189,0.27,92.13,2374.0,0.347,0.0,0.418,0.224,0.255,,24.0,3.0,4.2,0.0,5.79,0.0,0.0,1.0,0.0,0.0,80.0,14.0,4.0,1.0
cristopher sanchez,P,PHI,Hits Allowed,5.5,TOR,base,Sat 4:05 PM,13,5,2,3.1,83,10.28,3.47,2.96,0.87,8.17,20778.0,26.9%,9.1%,17.9%,0.239,1.29,0.317,81.6%,76.0,83.0,3.37,,34.5%,16.8%,,48.7%,,,,,,307.0,0.265,491.0,0.424,260.0,0.225,99.0,0.086,,,0.324,0.0,0.5,0.206,0.265,,,0.432,0.0,0.506,0.185,0.284,,,,,,,,,,,,,,,
cristopher sanchez,P,PHI,Walks Allowed,1.5,TOR,base,Sat 4:05 PM,13,5,2,3.1,83,10.28,3.47,2.96,0.87,8.17,20778.0,26.9%,9.1%,17.9%,0.239,1.29,0.317,81.6%,76.0,83.0,3.37,,34.5%,16.8%,,48.7%,,,,,,307.0,0.265,491.0,0.424,260.0,0.225,99.0,0.086,,,0.324,0.0,0.5,0.206,0.265,,,0.432,0.0,0.506,0.185,0.284,,,,,,,,,,,,,,,
cristopher sanchez,P,PHI,Pitcher Strikeouts,5.0,TOR,base,Sat 4:05 PM,13,5,2,3.1,83,10.28,3.47,2.96,0.87,8.17,20778.0,26.9%,9.1%,17.9%,0.239,1.29,0.317,81.6%,76.0,83.0,3.37,,34.5%,16.8%,,48.7%,,,,,,307.0,0.265,491.0,0.424,260.0,0.225,99.0,0.086,,,0.324,0.0,0.5,0.206,0.265,,,0.432,0.0,0.506,0.185,0.284,,27.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,98.0,21.0,5.0,1.0
bowden francis,P,TOR,Pitcher Strikeouts,4.0,PHI,base,Sat 4:05 PM,13,2,8,6.12,50,7.46,3.58,2.08,2.83,10.44,20548.0,18.5%,8.9%,9.6%,0.288,1.56,0.293,75.6%,155.0,171.0,6.9,57.7%,,5.4%,14.0%,0.2%,,22.7%,,,,275.0,0.258,459.0,0.43,266.0,0.249,67.0,0.063,93.18,2286.0,0.714,0.0,0.286,0.381,0.286,92.7,2288.0,0.525,0.0,0.305,0.305,0.254,,17.0,2.0,3.2,0.0,4.91,0.0,0.0,1.0,0.0,0.0,74.0,11.0,4.0,1.0
drew rasmussen,P,TB,Walks Allowed,1.5,NYM,base,Sat 4:10 PM,13,5,4,2.22,59,7.7,1.83,4.21,0.78,6.26,25385.0,22.5%,5.3%,17.2%,0.196,0.9,0.233,84.8%,58.0,81.0,3.24,33.5%,,,4.9%,25.2%,30.1%,,6.3%,,,299.0,0.296,458.0,0.454,188.0,0.186,64.0,0.063,95.93,2469.0,0.444,0.0,0.556,0.148,0.222,95.77,2485.0,0.438,0.0,0.507,0.205,0.233,,,,,,,,,,,,,,,
drew rasmussen,P,TB,Hits Allowed,4.5,NYM,base,Sat 4:10 PM,13,5,4,2.22,59,7.7,1.83,4.21,0.78,6.26,25385.0,22.5%,5.3%,17.2%,0.196,0.9,0.233,84.8%,58.0,81.0,3.24,33.5%,,,4.9%,25.2%,30.1%,,6.3%,,,299.0,0.296,458.0,0.454,188.0,0.186,64.0,0.063,95.93,2469.0,0.444,0.0,0.556,0.148,0.222,95.77,2485.0,0.438,0.0,0.507,0.205,0.233,,,,,,,,,,,,,,,
tylor megill,P,NYM,Pitcher Strikeouts,6.0,TB,base,Sat 4:10 PM,13,5,4,3.76,84,11.69,4.31,2.71,0.7,7.38,21318.0,29.8%,11.0%,18.8%,0.215,1.3,0.306,70.7%,97.0,80.0,3.15,42.6%,7.0%,24.5%,6.3%,19.5%,,,,,,300.0,0.26,492.0,0.427,251.0,0.218,109.0,0.095,95.61,2243.0,0.357,0.0,0.357,0.429,0.179,95.48,2276.0,0.382,0.0,0.436,0.309,0.218,L,23.0,3.0,3.2,0.0,7.36,0.0,0.0,1.0,1.0,0.0,82.0,11.0,5.0,0.0
spencer strider,P,ATL,Pitcher Strikeouts,8.0,COL,base,Sat 4:10 PM,5,0,5,5.4,24,8.64,3.96,2.18,1.8,7.56,27498.0,22.4%,10.3%,12.1%,0.228,1.28,0.254,69.0%,132.0,142.0,5.56,54.5%,6.2%,34.1%,5.3%,,,,,,,98.0,0.224,191.0,0.437,99.0,0.227,49.0,0.112,94.94,2261.0,0.387,0.0,0.355,0.387,0.129,94.99,2274.0,0.412,0.0,0.373,0.373,0.157,W,22.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,87.0,18.0,13.0,1.0
chase dollander,P,COL,Pitcher Strikeouts,4.0,ATL,base,Sat 4:10 PM,10,2,6,6.85,42,8.46,4.43,1.91,2.42,9.47,33482.0,20.6%,10.8%,9.8%,0.261,1.54,0.278,62.7%,150.0,150.0,6.3,55.2%,10.5%,0.5%,19.8%,,14.0%,,,,,216.0,0.263,346.0,0.422,175.0,0.213,83.0,0.101,97.65,2438.0,0.435,0.0,0.435,0.304,0.261,97.53,2447.0,0.412,0.0,0.324,0.353,0.265,L,26.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,97.0,18.0,4.0,1.0
andre pallante,P,STL,Pitches Thrown,90.5,MIL,base,Sat 4:10 PM,13,4,3,4.75,47,5.88,3.0,1.96,1.38,9.38,26108.0,15.1%,7.7%,7.4%,0.261,1.38,0.279,71.8%,120.0,121.0,4.76,48.6%,,25.5%,,14.6%,,,,11.4%,,335.0,0.293,428.0,0.374,258.0,0.226,122.0,0.107,94.9,2320.0,0.513,0.0,0.641,0.128,0.205,94.9,2305.0,0.436,0.0,0.617,0.17,0.191,,20.0,3.0,4.1,0.0,6.23,0.0,0.0,1.0,1.0,0.0,82.0,13.0,82.0,0.0
andre pallante,P,STL,Earned Runs Allowed,2.5,MIL,base,Sat 4:10 PM,13,4,3,4.75,47,5.88,3.0,1.96,1.38,9.38,26108.0,15.1%,7.7%,7.4%,0.261,1.38,0.279,71.8%,120.0,121.0,4.76,48.6%,,25.5%,,14.6%,,,,11.4%,,335.0,0.293,428.0,0.374,258.0,0.226,122.0,0.107,94.9,2320.0,0.513,0.0,0.641,0.128,0.205,94.9,2305.0,0.436,0.0,0.617,0.17,0.191,,20.0,3.0,4.1,0.0,6.23,0.0,0.0,1.0,1.0,0.0,82.0,13.0,3.0,1.0
andre pallante,P,STL,Hits Allowed,5.5,MIL,base,Sat 4:10 PM,13,4,3,4.75,47,5.88,3.0,1.96,1.38,9.38,26108.0,15.1%,7.7%,7.4%,0.261,1.38,0.279,71.8%,120.0,121.0,4.76,48.6%,,25.5%,,14.6%,,,,11.4%,,335.0,0.293,428.0,0.374,258.0,0.226,122.0,0.107,94.9,2320.0,0.513,0.0,0.641,0.128,0.205,94.9,2305.0,0.436,0.0,0.617,0.17,0.191,,,,,,,,,,,,,,,
andre pallante,P,STL,Pitcher Strikeouts,3.5,MIL,base,Sat 4:10 PM,13,4,3,4.75,47,5.88,3.0,1.96,1.38,9.38,26108.0,15.1%,7.7%,7.4%,0.261,1.38,0.279,71.8%,120.0,121.0,4.76,48.6%,,25.5%,,14.6%,,,,11.4%,,335.0,0.293,428.0,0.374,258.0,0.226,122.0,0.107,94.9,2320.0,0.513,0.0,0.641,0.128,0.205,94.9,2305.0,0.436,0.0,0.617,0.17,0.191,,20.0,3.0,4.1,0.0,6.23,0.0,0.0,1.0,1.0,0.0,82.0,13.0,7.0,1.0
andre pallante,P,STL,Pitching Outs,16.5,MIL,base,Sat 4:10 PM,13,4,3,4.75,47,5.88,3.0,1.96,1.38,9.38,26108.0,15.1%,7.7%,7.4%,0.261,1.38,0.279,71.8%,120.0,121.0,4.76,48.6%,,25.5%,,14.6%,,,,11.4%,,335.0,0.293,428.0,0.374,258.0,0.226,122.0,0.107,94.9,2320.0,0.513,0.0,0.641,0.128,0.205,94.9,2305.0,0.436,0.0,0.617,0.17,0.191,,20.0,3.0,4.1,0.0,6.23,0.0,0.0,1.0,1.0,0.0,82.0,13.0,13.0,0.0
andre pallante,P,STL,Pitcher Fantasy Score,22.5,MIL,base,Sat 4:10 PM,13,4,3,4.75,47,5.88,3.0,1.96,1.38,9.38,26108.0,15.1%,7.7%,7.4%,0.261,1.38,0.279,71.8%,120.0,121.0,4.76,48.6%,,25.5%,,14.6%,,,,11.4%,,335.0,0.293,428.0,0.374,258.0,0.226,122.0,0.107,94.9,2320.0,0.513,0.0,0.641,0.128,0.205,94.9,2305.0,0.436,0.0,0.617,0.17,0.191,,20.0,3.0,4.1,0.0,6.23,0.0,0.0,1.0,1.0,0.0,82.0,13.0,25.0,1.0
jose quintana,P,MIL,Pitching Outs,16.5,STL,base,Sat 4:10 PM,8,4,1,2.66,31,6.34,3.68,1.72,1.02,8.18,11423.0,16.8%,9.8%,7.1%,0.241,1.32,0.269,84.3%,66.0,109.0,4.37,8.5%,23.3%,,12.1%,47.9%,,,,,8.3%,148.0,0.205,334.0,0.463,174.0,0.241,65.0,0.09,90.31,2074.0,0.333,0.0,0.4,0.233,0.267,90.31,2074.0,0.333,0.0,0.4,0.233,0.267,L,24.0,5.0,4.1,0.0,10.38,0.0,0.0,1.0,0.0,0.0,101.0,13.0,13.0,0.0
jose quintana,P,MIL,Pitcher Strikeouts,4.0,STL,base,Sat 4:10 PM,8,4,1,2.66,31,6.34,3.68,1.72,1.02,8.18,11423.0,16.8%,9.8%,7.1%,0.241,1.32,0.269,84.3%,66.0,109.0,4.37,8.5%,23.3%,,12.1%,47.9%,,,,,8.3%,148.0,0.205,334.0,0.463,174.0,0.241,65.0,0.09,90.31,2074.0,0.333,0.0,0.4,0.233,0.267,90.31,2074.0,0.333,0.0,0.4,0.233,0.267,L,24.0,5.0,4.1,0.0,10.38,0.0,0.0,1.0,0.0,0.0,101.0,13.0,4.0,1.0
jose quintana,P,MIL,Pitcher Fantasy Score,23.5,STL,base,Sat 4:10 PM,8,4,1,2.66,31,6.34,3.68,1.72,1.02,8.18,11423.0,16.8%,9.8%,7.1%,0.241,1.32,0.269,84.3%,66.0,109.0,4.37,8.5%,23.3%,,12.1%,47.9%,,,,,8.3%,148.0,0.205,334.0,0.463,174.0,0.241,65.0,0.09,90.31,2074.0,0.333,0.0,0.4,0.233,0.267,90.31,2074.0,0.333,0.0,0.4,0.233,0.267,L,24.0,5.0,4.1,0.0,10.38,0.0,0.0,1.0,0.0,0.0,101.0,13.0,10.0,0.0
joe ryan,P,MIN,Pitcher Fantasy Score,36.5,HOU,base,Sat 4:10 PM,13,7,2,2.96,82,10.11,1.85,5.47,1.11,6.53,21390.0,28.3%,5.2%,23.1%,0.199,0.93,0.251,80.7%,74.0,84.0,3.42,54.4%,,5.0%,0.6%,9.7%,,15.4%,14.8%,,,357.0,0.305,526.0,0.45,191.0,0.163,96.0,0.082,94.44,2306.0,0.296,0.0,0.481,0.185,0.259,93.81,2268.0,0.333,0.0,0.394,0.303,0.212,,25.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,93.0,21.0,40.0,1.0
