Date,Total Predictions,Correct Predictions,Accuracy (%),,,
2025-3-10,588,359,61.05,,,
2025-3-11,274,139,50.73,,,
2025-3-12,576,246,42.71,,,
2025-3-13,361,175,48.48,,,
2025-3-14,805,411,51.06,,,
2025-3-25,564,290,51.42,,,
2025-3-26,352,157,44.6,,,
2025-3-31,721,354,49.1,,,
2025-4-1,656,348,53.05,,,
2025-4-2,458,220,48.03,,,
2025-4-8,637,337,52.9,,,
2025-4-9,579,287,49.57,,,
2025-4-15,831,411,49.46,,,
2025-4-22,757,355,46.9,,,
2025-4-23,795,538,67.67,,,
2025-4-24,765,555,72.55,,,
2025-4-26,707,359,50.78,,,
2025-4-27,542,337,62.18,,,
2025-4-28,676,423,62.57,,,